/* Seed population built (size: 1028) */
/* Expanded genome set built (size: 1024) */
161.527 ms for Composite net construction. 
4.48443 ms for construction of all networks individually. 
0.120856 ms for composite net evaluation. 
0.285043 ms for evaluation of all networks individually. 
/* PASS: outputs from GPU and CPU implementations are identical. */
~*~*~*~* GPU speed up: 2.35854 *~*~*~*~


/* Seed population built (size: 1019) */
/* Expanded genome set built (size: 1024) */
152.136 ms for Composite net construction. 
4.39514 ms for construction of all networks individually. 
0.124023 ms for composite net evaluation. 
0.295958 ms for evaluation of all networks individually. 
/* PASS: outputs from GPU and CPU implementations are identical. */
~*~*~*~* GPU speed up: 2.38631 *~*~*~*~


/* Seed population built (size: 1011) */
/* Expanded genome set built (size: 1024) */
156.481 ms for Composite net construction. 
5.29992 ms for construction of all networks individually. 
0.124434 ms for composite net evaluation. 
0.306901 ms for evaluation of all networks individually. 
/* PASS: outputs from GPU and CPU implementations are identical. */
~*~*~*~* GPU speed up: 2.46637 *~*~*~*~


/* Seed population built (size: 1009) */
/* Expanded genome set built (size: 1024) */
159.915 ms for Composite net construction. 
5.03658 ms for construction of all networks individually. 
0.140597 ms for composite net evaluation. 
0.319348 ms for evaluation of all networks individually. 
/* PASS: outputs from GPU and CPU implementations are identical. */
~*~*~*~* GPU speed up: 2.27137 *~*~*~*~


/* Seed population built (size: 1014) */
/* Expanded genome set built (size: 1024) */
162.72 ms for Composite net construction. 
4.16563 ms for construction of all networks individually. 
0.127186 ms for composite net evaluation. 
0.29307 ms for evaluation of all networks individually. 
/* PASS: outputs from GPU and CPU implementations are identical. */
~*~*~*~* GPU speed up: 2.30427 *~*~*~*~


/* Seed population built (size: 1028) */
/* Expanded genome set built (size: 1024) */
152.996 ms for Composite net construction. 
4.82342 ms for construction of all networks individually. 
0.11217 ms for composite net evaluation. 
0.293261 ms for evaluation of all networks individually. 
/* PASS: outputs from GPU and CPU implementations are identical. */
~*~*~*~* GPU speed up: 2.61443 *~*~*~*~


/* Seed population built (size: 1017) */
/* Expanded genome set built (size: 1024) */
153.546 ms for Composite net construction. 
4.6527 ms for construction of all networks individually. 
0.127212 ms for composite net evaluation. 
0.292322 ms for evaluation of all networks individually. 
/* PASS: outputs from GPU and CPU implementations are identical. */
~*~*~*~* GPU speed up: 2.29791 *~*~*~*~


/* Seed population built (size: 1023) */
/* Expanded genome set built (size: 1024) */
154.234 ms for Composite net construction. 
4.70395 ms for construction of all networks individually. 
0.124398 ms for composite net evaluation. 
0.301735 ms for evaluation of all networks individually. 
/* PASS: outputs from GPU and CPU implementations are identical. */
~*~*~*~* GPU speed up: 2.42556 *~*~*~*~


/* Seed population built (size: 1007) */
/* Expanded genome set built (size: 1024) */
148.561 ms for Composite net construction. 
4.00101 ms for construction of all networks individually. 
0.124442 ms for composite net evaluation. 
0.275613 ms for evaluation of all networks individually. 
/* PASS: outputs from GPU and CPU implementations are identical. */
~*~*~*~* GPU speed up: 2.2148 *~*~*~*~


/* Seed population built (size: 1007) */
/* Expanded genome set built (size: 1024) */
152.744 ms for Composite net construction. 
3.76503 ms for construction of all networks individually. 
0.11245 ms for composite net evaluation. 
0.264553 ms for evaluation of all networks individually. 
/* PASS: outputs from GPU and CPU implementations are identical. */
~*~*~*~* GPU speed up: 2.35264 *~*~*~*~


/* Seed population built (size: 1017) */
/* Expanded genome set built (size: 2048) */
160.016 ms for Composite net construction. 
7.5429 ms for construction of all networks individually. 
0.108573 ms for composite net evaluation. 

/* Seed population built (size: 1025) */
/* Expanded genome set built (size: 2048) */
173.782 ms for Composite net construction. 
9.06312 ms for construction of all networks individually. 
0.11971 ms for composite net evaluation. 
0.591312 ms for evaluation of all networks individually. 
/* PASS: outputs from GPU and CPU implementations are identical. */
~*~*~*~* GPU speed up: 4.93955 *~*~*~*~


/* Seed population built (size: 1021) */
/* Expanded genome set built (size: 2048) */
166.935 ms for Composite net construction. 
8.77885 ms for construction of all networks individually. 
0.114059 ms for composite net evaluation. 
0.564175 ms for evaluation of all networks individually. 
/* PASS: outputs from GPU and CPU implementations are identical. */
~*~*~*~* GPU speed up: 4.94634 *~*~*~*~


/* Seed population built (size: 1016) */
/* Expanded genome set built (size: 2048) */
164.329 ms for Composite net construction. 
9.29638 ms for construction of all networks individually. 
0.120409 ms for composite net evaluation. 
0.587381 ms for evaluation of all networks individually. 
/* PASS: outputs from GPU and CPU implementations are identical. */
~*~*~*~* GPU speed up: 4.8782 *~*~*~*~


/* Seed population built (size: 1020) */
/* Expanded genome set built (size: 2048) */
159.72 ms for Composite net construction. 
7.51077 ms for construction of all networks individually. 
0.113752 ms for composite net evaluation. 
0.526103 ms for evaluation of all networks individually. 
/* PASS: outputs from GPU and CPU implementations are identical. */
~*~*~*~* GPU speed up: 4.625 *~*~*~*~


/* Seed population built (size: 1008) */
/* Expanded genome set built (size: 2048) */
156.824 ms for Composite net construction. 
7.98796 ms for construction of all networks individually. 
0.108568 ms for composite net evaluation. 
0.535702 ms for evaluation of all networks individually. 
/* PASS: outputs from GPU and CPU implementations are identical. */
~*~*~*~* GPU speed up: 4.93425 *~*~*~*~


/* Seed population built (size: 1021) */
/* Expanded genome set built (size: 2048) */
176.637 ms for Composite net construction. 
10.58 ms for construction of all networks individually. 
0.136153 ms for composite net evaluation. 
0.60795 ms for evaluation of all networks individually. 
/* PASS: outputs from GPU and CPU implementations are identical. */
~*~*~*~* GPU speed up: 4.4652 *~*~*~*~


/* Seed population built (size: 1016) */
/* Expanded genome set built (size: 2048) */
183.888 ms for Composite net construction. 
10.1204 ms for construction of all networks individually. 
0.125863 ms for composite net evaluation. 
0.585458 ms for evaluation of all networks individually. 
/* PASS: outputs from GPU and CPU implementations are identical. */
~*~*~*~* GPU speed up: 4.65155 *~*~*~*~


/* Seed population built (size: 1027) */
/* Expanded genome set built (size: 2048) */
177.523 ms for Composite net construction. 
9.42951 ms for construction of all networks individually. 
0.122387 ms for composite net evaluation. 
0.558971 ms for evaluation of all networks individually. 
/* PASS: outputs from GPU and CPU implementations are identical. */
~*~*~*~* GPU speed up: 4.56725 *~*~*~*~


/* Seed population built (size: 1014) */
/* Expanded genome set built (size: 2048) */
191.047 ms for Composite net construction. 
10.6755 ms for construction of all networks individually. 
0.123912 ms for composite net evaluation. 
0.613772 ms for evaluation of all networks individually. 
/* PASS: outputs from GPU and CPU implementations are identical. */
~*~*~*~* GPU speed up: 4.95328 *~*~*~*~


/* Seed population built (size: 1009) */
/* Expanded genome set built (size: 4096) */
194.967 ms for Composite net construction. 
19.8228 ms for construction of all networks individually. 
0.123339 ms for composite net evaluation. 
1.30857 ms for evaluation of all networks individually. 
/* PASS: outputs from GPU and CPU implementations are identical. */
~*~*~*~* GPU speed up: 10.6095 *~*~*~*~


/* Seed population built (size: 1005) */
/* Expanded genome set built (size: 4096) */
174.058 ms for Composite net construction. 
14.5342 ms for construction of all networks individually. 
0.111546 ms for composite net evaluation. 
1.08212 ms for evaluation of all networks individually. 
/* PASS: outputs from GPU and CPU implementations are identical. */
~*~*~*~* GPU speed up: 9.70116 *~*~*~*~


/* Seed population built (size: 1010) */
/* Expanded genome set built (size: 4096) */
206.752 ms for Composite net construction. 
24.2251 ms for construction of all networks individually. 
0.131368 ms for composite net evaluation. 
1.3104 ms for evaluation of all networks individually. 
/* PASS: outputs from GPU and CPU implementations are identical. */
~*~*~*~* GPU speed up: 9.97502 *~*~*~*~


/* Seed population built (size: 1003) */
/* Expanded genome set built (size: 4096) */
199.899 ms for Composite net construction. 
22.1446 ms for construction of all networks individually. 
0.14511 ms for composite net evaluation. 
1.32615 ms for evaluation of all networks individually. 
/* PASS: outputs from GPU and CPU implementations are identical. */
~*~*~*~* GPU speed up: 9.13889 *~*~*~*~


/* Seed population built (size: 1015) */
/* Expanded genome set built (size: 4096) */
192.217 ms for Composite net construction. 
18.9938 ms for construction of all networks individually. 
0.123314 ms for composite net evaluation. 
1.14182 ms for evaluation of all networks individually. 
/* PASS: outputs from GPU and CPU implementations are identical. */
~*~*~*~* GPU speed up: 9.25949 *~*~*~*~


/* Seed population built (size: 993) */
/* Expanded genome set built (size: 4096) */
186.284 ms for Composite net construction. 
18.0383 ms for construction of all networks individually. 
0.118802 ms for composite net evaluation. 

/* Seed population built (size: 1011) */
/* Expanded genome set built (size: 4096) */
183.498 ms for Composite net construction. 
17.8756 ms for construction of all networks individually. 
0.122749 ms for composite net evaluation. 
1.14336 ms for evaluation of all networks individually. 
/* PASS: outputs from GPU and CPU implementations are identical. */
